timestamp,back_x,back_y,back_z,thigh_x,thigh_y,thigh_z,label
2019-01-12 00:00:00.000,-3.701416000000002,-0.491943,0.041748,-4.2590330000000005,-0.8847659999999999,-2.33374,6
2019-01-12 00:00:00.020,-2.516357,0.22045900000000002,0.581055,-1.023193,-1.1984860000000002,4.399414,6
2019-01-12 00:00:00.040,-1.9174799999999999,0.11914100000000001,0.309082,-0.151123,2.194824,-0.572998,6
2019-01-12 00:00:00.060,-2.370361,-0.247559,0.045654,-2.7197270000000002,-0.5898439999999999,-0.6818850000000001,6
2019-01-12 00:00:00.080,-2.1088869999999997,-0.23217800000000002,0.234375,-1.758057,-0.953369,0.32250999999999996,6
2019-01-12 00:00:00.100,-1.589844,-0.243652,0.128906,-0.46411099999999994,-0.024658000000000003,-0.024902,6
2019-01-12 00:00:00.120,-1.171875,-0.150391,-0.13256800000000002,-0.854736,-0.612549,-0.19653299999999999,6
2019-01-12 00:00:00.140,-0.603271,0.041016000000000004,-0.244141,-0.8771969999999999,-0.178223,-0.06640599999999999,6
2019-01-12 00:00:00.160,-0.141846,0.091309,-0.254639,-0.609863,0.371338,-0.27270500000000003,6
2019-01-12 00:00:00.180,-0.22168000000000002,0.029541,-0.247559,-0.5878909999999999,0.23120100000000002,-0.538574,6
2019-01-12 00:00:00.200,-0.476562,-0.08862300000000001,-0.261963,-0.741211,0.06274400000000001,-0.643555,6
2019-01-12 00:00:00.220,-0.677002,-0.210693,-0.262207,-0.9509280000000001,-0.24658200000000002,-0.4890140000000001,6
2019-01-12 00:00:00.240,-0.8911129999999999,-0.203125,-0.23217800000000002,-1.134033,-0.537354,-0.407959,6
2019-01-12 00:00:00.260,-1.001465,-0.04834,-0.20654299999999998,-1.051025,-0.43456999999999996,-0.533936,6
2019-01-12 00:00:00.280,-0.945068,0.054443,-0.205566,-1.043457,-0.19873,-0.4985350000000001,6
2019-01-12 00:00:00.300,-0.8928219999999999,0.038086,-0.188477,-1.037354,-0.07251,-0.37744099999999997,6
2019-01-12 00:00:00.320,-0.917969,0.001709,-0.166016,-1.006104,-0.057129,-0.23217800000000002,6
2019-01-12 00:00:00.340,-0.9509280000000001,-0.040527,-0.131104,-0.989258,-0.08569299999999999,-0.123779,6
2019-01-12 00:00:00.360,-0.996582,-0.07959,-0.099365,-0.952148,-0.117676,-0.075928,6
2019-01-12 00:00:00.380,-1.018311,-0.06591799999999999,-0.11987300000000001,-0.991455,-0.147705,-0.11328099999999999,6
2019-01-12 00:00:00.400,-0.9858399999999999,-0.042480000000000004,-0.16162100000000001,-1.01416,-0.195801,-0.17260699999999998,6
2019-01-12 00:00:00.420,-0.9545899999999999,-0.045166000000000005,-0.16333,-1.01709,-0.21875,-0.117676,6
2019-01-12 00:00:00.440,-0.96167,-0.054443,-0.137451,-1.001709,-0.209229,-0.10424800000000001,6
2019-01-12 00:00:00.460,-0.9946290000000001,-0.057373,-0.13183599999999998,-0.999756,-0.161133,-0.14819300000000002,6
2019-01-12 00:00:00.480,-1.0046389999999998,-0.048827999999999996,-0.13501,-0.9985350000000001,-0.151611,-0.187256,6
2019-01-12 00:00:00.500,-0.988037,-0.07006799999999999,-0.15673800000000002,-1.0151370000000002,-0.198242,-0.164795,6
2019-01-12 00:00:00.520,-0.968994,-0.081299,-0.133301,-1.001465,-0.207031,-0.10180700000000001,6
2019-01-12 00:00:00.540,-0.9865719999999999,-0.07421900000000001,-0.121582,-0.999756,-0.16503900000000002,-0.060059,6
2019-01-12 00:00:00.560,-0.985107,-0.056641,-0.128418,-0.9987790000000001,-0.099609,-0.116211,6
2019-01-12 00:00:00.580,-0.980957,-0.041260000000000005,-0.147705,-1.01416,-0.07885700000000001,-0.168457,6
2019-01-12 00:00:00.600,-0.9626459999999999,-0.025146,-0.154541,-1.015625,-0.075928,-0.172852,6
2019-01-12 00:00:00.620,-0.9501950000000001,-0.012695,-0.138428,-1.014648,-0.104492,-0.158203,6
2019-01-12 00:00:00.640,-0.9558110000000001,-0.018311,-0.140625,-1.030273,-0.152588,-0.144043,6
2019-01-12 00:00:00.660,-0.973389,-0.035889,-0.140625,-1.032715,-0.171875,-0.096924,6
2019-01-12 00:00:00.680,-0.986816,-0.048096,-0.140869,-1.002197,-0.15551800000000002,-0.080078,6
2019-01-12 00:00:00.700,-0.979492,-0.049316000000000006,-0.137939,-0.984375,-0.184082,-0.048096,6
2019-01-12 00:00:00.720,-0.949463,-0.061767999999999997,-0.12548800000000002,-0.9987790000000001,-0.233643,-0.047363,6
2019-01-12 00:00:00.740,-0.956543,-0.045654,-0.140381,-1.014893,-0.207031,-0.030273,6
2019-01-12 00:00:00.760,-0.986816,-0.045166000000000005,-0.12207,-1.015625,-0.112793,-0.076172,6
